,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
3336,Injured Person,5535 S. Ellis (Court Theater),10/9/11 2:14 PM,10/9/11 2:14 PM,Woman fell while walking in the lobby of the theater causing pain in her hips / Transported to ER by CFD EMS,Closed,A00717
3337,Theft,55th at Harper,10/9/11 7:37 PM,10/9/11 7:20 PM to 7:30 PM,Woman left her purse on a bus / Purse later returned to owner with $50 cash missing,Open,A00718
3338,Armed Robbery,52nd Street between Kimbark and Kenwood (Alley),10/9/11 8:49 PM,10/9/11 8:35 PM,Man armed with a handgun took property from a man walking in the alley,Open,A00719
3339,Theft,1100 E. 57th St. (Regenstein Library),10/8/11 2:20 PM,10/8/11 1:50 PM to 2:05 PM,Unknown person took laptop computer while complainant fell asleep,Open,A00715
3340,Theft,5815 S. Maryland (Mitchell Hospital),10/7/11 12:35 AM,10/6/11 5:30 PM to 6:00 PM,Patient reported unknown person took cash and credit cards from her wallet left unattended in unsecured room / Subsequent unauthorized use of credit card reported,Open,A00711
3341,Robbery,54th between University &amp; Woodlawn,10/7/11 6:03 PM,10/6/11 6:03 PM,Two unknown males forcibly took computer and bag from man walking on the sidewalk,Open,A00712
3342,Burglary,Ellis between 54th &amp; 55th,10/7/11 7:15 PM,10/7/11 9:30 AM to 7:00 PM,"Unknown person(s) entered apartment via open window / Took 2- laptop computers, car keys, Canon camera",Open,A00713
3343,Theft,1212 E. 59th St. (Ida Noyes),10/6/11 11:18 AM,10/5/11 12:15 AM to 3:45 PM,Cash taken from unlocked cash box kept in an unlocked closet,Open,A00709
3344,Traffic Violation,53rd at University,10/6/11 2:57 PM,10/6/11 2:57 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,A00000
3345,Theft,5815 S. Maryland (Mitchell Hospital),10/5/11 1:26 PM,10/5/11 11:45 AM to 1:00 PM,Unknown person took woman's wallet while she dined in restaurant / Subsequent unauthorized use of credit cards was discovered,Open,A00706
3346,Theft,1020 E. 58th St. (Kent) Bike Rack,10/5/11 7:22 PM,10/5/11 9:00 AM to 6:00 PM,"Bicycle, chained to bike rack, taken by unknown person",Open,A00707
3347,Void,VOID,VOID,VOID,Number generated in error,Void,A00708
3348,Theft,6051 S. Drexel (Construction Site),10/4/11 8:12 AM,10/3/11 7:00 AM to 3:00 PM,Unknown person took several tools from an unsecured pick up truck while parked on the construction site.,Open,A00702
3349,Burglary,Greenwood between 54th &amp; 55th ,10/4/11 3:54 PM,10/4/11 10:00 AM to 3:40 PM,Unknown person(s) gained entry to private apartment by forcing the front door / Took computer and jewelry,Open,A00703
3350,Theft,1155 E. 60th St. (Harris School),10/4/11 5:10 PM,10/4/11 9:45 AM to 1:00 PM,Unknown person gained control of wallet from complainant's back pack / Unauthorized use of credit card subsequently reported,Open,A00704
3351,Traffic Crash / Injured Person,60th at Woodlawn ,10/3/11 9:06 AM,10/3/11 9:06 AM,Motorist struck bicycle causing cyclist to fall to the street / Transported to ER by CFD EMS,CPD Investigation,A00700
3352,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1317531600,,,,,,
3353,Injured Person,5720 S. Ellis (Kersten Center),10/1/11 1:26 PM,10/1/11 11:30 AM,Woman fell while walking in aisle of lecture hall / Treated at ER,Closed,A00698
3354,Traffic Violation,Cottage Grove at 59th,10/1/11 1:46 PM,10/1/11 1:46 PM,UCPD officer arrested a motorist for driving with a revoked driver's license and no insurance,Arrest,A00000
3355,Death Investigation,5815 S. Maryland (Mitchell Hospital),9/30/11 11:47 AM,9/30/11 11:47 AM,UCPD assisted CPD with death investigation,CPD Investigation,A00696
3356,Traffic Violation,55th at Woodlawn,9/30/11 11:21 AM,9/30/11 11:21 AM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,A00000
3357,Theft,1100 E. 57th St. (Regenstein Library),9/29/11 11:17 AM,9/29/11 11:00 AM to 11:15 AM,Unknown person took iPhone from armrest of chair as the complainant slept,Open,A00691
3358,Void,Void,Void,Void,Number generated in error,Void,A00692
3359,Robbery,Ellis between 60th &amp; 61st,9/29/11 3:25 PM,9/29/11 3:23 PM,Male forcibly took a book bag from a woman walking on the sidewalk and fled on foot / Arrested by UCPD,Arrest,A00693
3360,Burglary,54th Pl. between Ingleside &amp; Ellis,9/29/11 6:05 PM,9/29/11 2:30 PM to 4:30 PM,Unknown person(s) forced entry to apartment via rear door / Took a variety of items,Open,A00694
3361,Burglary,Kenwood between 56th &amp; 57th,9/28/11 12:34 AM,9/26/11 8:30 AM to 5:00 PM,Unknown person gained entry to apartment via window / Took jewelry,Open,A00687
3362,Unlawful Possession of a Handgun,60th between Dorchester &amp; Blackstone,9/28/11 8:51 AM,9/28/11 8:51 AM,"UCPD officers responded to call of suspicious male on the street / Suspect fled, but dropped a handgun / Weapon recovered and turned over to CPD",Open,A00688
3363,Theft,900 E. 57th St. (Knapp Center),9/28/11 10:08 AM,9/27/11 to 9/28/11 4:00 PM to 8:30 AM,Two unattended packages taken from desk in open office area,Open,A00689
3364,Burglary,Kenwood between 52nd &amp; 53rd,9/27/11 4:06 PM,9/27/11 11:00 AM to 12:30 PM,"Unknown person(s) entered residence via rear window / Took computer, digital camera, i-Pods, credit cards and cash",Open,A00684
3365,Warrant Arrest,Lake Park at 49th,9/27/11 5:16 PM,9/27/11 5:16 PM,UCPD officers arrested a man wanted on a warrant,Arrest,A00685
3366,Theft from Motor Vehicle,Hyde Park between Woodlawn &amp; Kimbark,9/26/11 6:23 AM,9/25/11 to 9/26/11 10:00 PM to 6:00 AM,Unknown person smashed passenger's side window of vehicle parked on the street and took GPS,Open,A00677
3367,Theft   ,5505 S. Ellis (Parking Structure),9/26/11 9:51 AM,9/23/11 to 9/26/11 5:00 PM to7:25 AM,Unknown person took two spare tires from University owned pick up trucks parked in the parking structure,Open,A00678
3368,Criminal Damage to Vehicle,Midway Pl. at Greenwood,9/26/11 11:59 AM,9/23/11 7:00 AM to 8:00 PM,Unknown person slashed convertible roof of vehicle parked on the street,Open,A00679
3369,Theft,Kimbark between 57th &amp; 58th,9/26/11 4:41 PM,9/25/11 to 9/26/11 11:00 PM to 4:30 PM,Unsecured bicycle taken from rear yard of residence,Open,A00680
3370,Armed Robbery,52nd at Woodlawn,9/25/11 12:47 AM,9/25/11 12:40 AM,Two males armed with a handgun took property from a man walking on the sidewalk,Open,A00671
3371,Armed Robbery,52nd at Ellis,9/25/11 12:47 AM,9/25/11 12:40 AM,Two males armed with a handgun took property from a man walking on the sidewalk,Open,A00672
3372,Burglary,Drexel between 54th &amp; 55th,9/25/11 1:35 AM,9/24/11 4:00 PM to 4:10 PM,"Unknown persons forced entry to a residential apartment taking a TV, computer, and jewelry",Open,A00673
3373,Theft from Motor Vehicle,University between 56th &amp; 57th,9/25/11 2:58 AM,9/25/11 2:30 AM to 2:40 AM,"Unknown persons took cash, pizza warming bag and pizzas from an unlocked delivery van parked on the street",Open,A00674
3374,Damage to Property,5640 S. University (Bartlett Commons),9/24/11 2:47 AM,9/23/11 to 9/24/11 2:25 AM,Staff member reported damage to faucets in first floor washroom,Open,A00669
3375,Burglary,Woodlawn between 52nd &amp; 53rd,9/23/11 9:34 AM,9/23/11 9:23 AM,UCPD officers observed a male subject enter a residence via a rear window off of the alley ,Arrest,A00664
3376,Theft,55th between University and Woodlawn,9/23/11 1:42 PM,9/22/11 to 9/23/11 4:00 PM to 1:30 PM,"Bicycle, secured with U lock, taken from rear of building by an unknown person",Open,A00665
3377,Injured Person,5801 S. Ellis (Quad),9/23/11 5:13 PM,9/23/11 5:15 PM,"Woman tripped on sidewalk, fell striking her head on pavement / Refused medical attention",Closed,A00666
3378,Robbery,University at 61st,9/23/11 7:45 PM,9/23/11 7:45 PM,Man used physical force to take purse from woman walking on the sidewalk / Immediately arrested by UCPD,Arrest,A00667
3379,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1316667600,,,,,,
3380,Traffic Violation,55th at Dorchester,9/21/11 9:05 AM,9/21/11 9:05 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,A00000
3381,Theft ,5555 S. Ellis (Young Bldg. Parking Lot),9/20/11 9:12 AM,9/16/11 2:30 PM to 4:30 PM,Unknown person took tools from two contractor's trucks parked in parking lot,Open,A00652
3382,Theft ,57th at Harper,9/20/11 11:29 AM,9/20/11 11:29 AM,UCPD officers arrested two males after they cut lock and took a bicycle from a bike rack,Arrest,A00653
3383,Lost Property,Unknown,9/19/11 2:46 PM,9/16/11 to 9/17/11 10:00 PM to 8:00 AM,Complainant lost card case containing credit and ID cards,Closed,A00645
3384,Theft from Motor Vehicle,6000 S. Kimbark (Parking Lot),9/19/11 1:44 PM,9/19/11 9:15 AM to 10:15 AM,Unknown person smashed rear passenger's side window of car parked in parking lot and took Garmin GPS from windshield,Open,A00646
3385,Theft   ,1362 E. 59th St. (Lab School),9/19/11 1:30 PM,6/11/11 to 9/16/11 3:00 PM to 3:00 PM,Unknown person took MacBook laptop computer from secured room / No sign of forced entry,Open,A00647
3386,Theft,5835 S. Kenwood (Lab School),9/19/11 2:46 PM,7/22/11 to 7/29/11 3:00 PM to 3:00 PM,Unknown person took MacBook laptop computer from secured room / No sign of forced entry,Open,A00648
3387,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1316322000,,,,,,
3388,Possession of Cannabis,53rd between Kenwood &amp; Dorchester (Alley),9/17/11 1:49 AM,9/17/11 1:49 AM,UCPD officer arrested three males after observing marijuana in plain view,Arrest,A00643
3389,Non-Criminal,950 E. 59th St. (Armour Clinical Research),9/16/11 9:12 AM,9/16/11 12:51 PM,Relative of patient created a disturbance,Closed,A00638
3390,Theft,6000 S. Kenwood,9/16/11 12:42 PM,9/16/11 12:35 PM,Unsecured bicycle left on sidewalk taken by unknown person,Open,A00639
3391,Burglary,Drexel between 54th &amp; 55th,9/16/11 8:17 PM,9/16/11 5:30 PM to 8:00 PM,Unknown person gained entry to residence via window / Took Mac Pro laptop computer,Open,A00640
3392,Criminal Damage to Property,Ridgewood between 54th &amp; 55th,9/16/11 9:29 PM,9/16/11 9:15 PM,Unknown person threw an object cracking the front window of a residence,Open,A00641
3393,Public Peace Violation,1100 E. 57th St.,9/15/11 2:52 PM,9/15/11 2:52 PM,UCPD officers arrested a man wanted on a warrant,Arrest,A00636
3394,Injured Person,5730 S. Drexel (Comer),9/14/11 2:30 PM,9/14/11 2:25 PM,"Complainant slipped on floor while entering building via revolving door / Complained of injury to shoulder, elbow, hip / Declined medical attention",Closed,A00633
3395,Injured Person,5730 S. Drexel (Comer),9/14/11 2:43 PM,9/14/11 2:20 PM,Complainant slipped on floor while entering building via revolving door / Complained of injury to knee and ankle / Declined medical attention,Closed,A00632
3396,Theft,South Shore at 54th,9/14/11 5:25 PM,9/8/11 to 9/14/11 9:00 PM to 5:20 PM,Unknown person took catalytic converter from undercarriage of Jeep parked on the street,Open,A00634
3397,Traffic Crash,University between 58th &amp; 59th,9/13/11 8:59 AM,9/13/11 8:55 AM,Traffic Crash report,Closed,A00626
3398,Lost Property,1115 E. 58th St. (Walker ),9/13/11 11:17 AM,8/22/11 to 9/13/11,"A package of three books were received, but subsequently lost in mail room",Closed,A00627
3399,Assault,1115 E. 58th St. (Walker ),9/13/11 3:43 PM,10/1/10 to 9/11/11 various ,Complainant reported receiving threats of bodily harm from a former acquaintance,Open,A00629
3400,Death Investigation,Ingleside between 61st &amp; 62nd,9/13/11 3:56 PM,9/13/11 3:56 PM,UCPD officers assisted CPD as a resident was found deceased in his apartment,CPD Investigation,A00631
3401,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1315803600,,,,,,
3402,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1315717200,,,,,,
3403,Void,Void,Void,Void,Void - Number generated in error,Void,A00622
3404,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1315544400,,,,,,
3405,Traffic Crash,59th between Woodlawn &amp; Kimbark,9/8/11 9:06 AM,9/8/11 9:00 AM,Traffic Crash Report filed,Closed,A00619
3406,Theft from Motor Vehicle,Blackstone between 60th &amp; 61st,9/8/11 12:33 PM,8/25/11 7:00 AM to 3:00 PM,Unknown person entered unlocked vehicle in parking lot / Took HP laptop computer,Open,A00620
3407,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1315371600,,,,,,
3408,Theft,5730 S. Drexel (Comer Bike Rack),9/6/11 9:28 AM,9/5/11 6:20 AM to 3:45 PM,Unknown person took bicycle and cable lock that secured it to bike rack,Open,A00616
3409,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1315198800,,,,,,
3410,Criminal Trespass to Vehicle,Harper at 54th,9/4/11 1:34 AM,9/4/11 1:34 AM,UCPD officers arrested a man for driving a stolen motor vehicle and possession of cannabis,Arrest,A00612
3411,Theft from Motor Vehicle,Dorchester between 61st &amp; 62nd,9/4/11 5:52 AM,9/3/11 to 9/4/11 10:30 PM to 5:50 AM,Unknown person smashed driver's side window of car parked on the street / Took cell phone,Open,A00613
3412,Armed Robbery Arrest,Stony Island at 56th,9/4/11 3:51 PM,9/4/11 3:51 PM,UCPD officers arrested two males riding in a motor vehicle taken at gunpoint from at motorist at 51st &amp; Indiana (Outside UCPD Area),Arrest,A00614
3413,Traffic Violation,Ellis at 47th,9/3/11 6:15 PM,9/3/11 6:15 PM,UCPD officer arrested motorist for driving without a driver's license,Arrest,A00000
3414,Lost Property,5815 S. Maryland (Mitchell Hospital),9/3/11 7:07 PM,9/3/11 1:00 PM to 7:05 PM,Patient reported loss of an earring,Closed,A00609
3415,Theft,5525 S. Ellis (Parking Office),9/2/11 10:25 AM,8/23/11 to 8/26/11 1:30 PM to 10:30 AM,Unknown person took money bag and keys from office,Open,A00607
3416,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1314853200,,,,,,
3417,Criminal Damage to Property,933 E. 56th St. (Trailer),8/31/11 8:37 AM,8/30/11 to 8/31/11 7:00 PM to 7:50 AM,Unknown person damaged the strike plate on exterior trailer door,Open,A00604
3418,Void,Void,Void,Void,Number generated in error,Void,A00602
3419,Traffic Violation,55th at Dorchester,8/30/11 9:13 AM,8/30/11 9:13 AM,UCPD officer arrested motorist for driving with a suspended driver's license,Arrest,A00000
3420,Found Property,Midway Pl. between Dorchester &amp; Blackstone,8/30/11 1:49 PM,8/30/11 1:45 PM,Park District worker found items of personal identification and other items taken in thefts while emptying trash container / Items returned to owners,Closed,A00603
3421,Theft,4945 S. Dorchester,8/29/11 1:37 PM,8/29/11 10:25 AM to 10:30 AM,"Unknown person took unattended, unsecured bicycle from 1st floor hallway of church",Open,A00599
3422,Theft,5401 S. Cornell (CTU),8/29/11 1:40 PM,8/29/11 9:00 AM to 1:00 PM,"Digital camera, iPod, cell phone, $40 cash taken from unsecured offices",Open,A00598
3423,Damage to Property,1212 E. 59th St. (Ida Noyes),8/29/11 7:13 PM,8/26/11 8:00 PM to 11:50 PM,Pane of glass in door on 3rd floor broken,Closed,A00600
3424,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),8/29/11 7:29 PM,8/29/11 6:15 AM to 7:25 PM,Unknown person smashed passenger's side front window and took a Tom Tom GPS,Open,A00601
3425,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1314507600,,,,,,
3426,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1314421200,,,,,,
3427,Theft from Motor Vehicle,6000 S. Stony Island (Parking Lot),8/26/11 4:07 PM,8/26/11 7:45 AM to 4:05 PM,Unknown person smashed driver's side window of car parked in lot / Took Garmin GPS,Open,A00593
3428,Theft from Motor Vehicle,6000 S. Stony Island (Parking Lot),8/26/11 4:07 PM,8/26/11 8:00 AM to 4:00 PM,Unknown person smashed passenger's side window of car parked in lot / Took Garmin GPS,Open,A00594
3429,Void,Void,Void,Void,Number generated in error,Void,A00595
3430,Found Property,5735 S. Kenwood (Sunny Gym),8/25/11 7:11 AM,8/25/11 7:11 AM,Wallet found in gym turned over to CPD and inventoried pending return to owner,Closed,A00589
3431,Found Property,5100 S. Dorchester,8/25/11 9:29 AM,8/16/11 9:00 AM,Purse found in alley turned over to CPD and inventoried pending return to owner,Closed,A00590
3432,Theft,5706 S. University (Reynolds Club),8/25/11 4:56 PM,8/25/11 4:50 PM to 4:55 PM,Unattended cell phone taken from desktop in unsecured office,Open,A00591
3433,Burglary,Ellis between 54th &amp; 55th,8/24/11 2:44 PM,8/23/11 to 8/24/11 8:00 PM to 2:00 PM,"Unknown person(s) entered apartment  via a window / Took laptop computer, iPod, X-Box",Open,A00586
